time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-03-17T22:35:38.030Z,47.55283333333333,-122.27216666666666,2.45,2.69,ml,57,31,,0.57,uw,uw61355627,2025-03-22T17:55:27.710Z,"4 km WSW of Mercer Island, Washington",earthquake,0.44,0.48,0.150932637569833,38,reviewed,uw,uw
2013-07-12T13:56:02.390Z,47.715,-122.2961667,30.979,2.58,ml,43,34,0.008514,0.31,uw,uw60551966,2022-07-25T18:17:51.861Z,"4 km SSW of Lake Forest Park, Washington",earthquake,0.41,0.58,0.167,80,reviewed,uw,uw
2011-06-15T01:52:58.130Z,47.7535,-122.3615,31.735,3,md,79,22,0.04858,0.32,uw,uw10818038,2022-08-09T08:28:14.349Z,"1 km W of Shoreline, Washington",earthquake,0.439,0.32,0.03,25,reviewed,uw,uw
1997-02-10T04:26:58.060Z,47.5533333,-122.2995,6.742,3.5,md,58,40,,0.16,uw,uw10414778,2016-07-23T17:30:32.230Z,"5 km NE of White Center, Washington",earthquake,0.028,0.02,0.02,9,reviewed,uw,uw
1996-11-26T05:22:25.600Z,47.7383333,-122.289,38.746,2.68,md,31,44,,0.53,uw,uw10412298,2016-07-23T17:27:38.620Z,"2 km SSW of Lake Forest Park, Washington",earthquake,0.79,1.18,0.205,67,reviewed,uw,uw
1995-02-10T11:17:36.950Z,47.7311667,-122.299,23.181,2.9,md,32,42,0.1812,0.11,uw,uw10363438,2016-07-23T16:23:56.560Z,"3 km SSW of Lake Forest Park, Washington",earthquake,0.262,0.57,0.07,11,reviewed,uw,uw
1988-12-19T20:11:40.610Z,47.5711667,-122.3983333,7.917,2.8,md,43,38,0.1026,0.16,uw,uw10238728,2016-07-24T20:47:07.320Z,"6 km SW of Seattle, Washington",earthquake,0.028,0.06,0.03,27,reviewed,uw,uw
1988-11-29T04:13:56.820Z,47.5711667,-122.4028333,10.349,2.6,md,40,37,0.1044,0.17,uw,uw10237973,2016-07-24T20:45:56.750Z,"6 km SW of Seattle, Washington",earthquake,0.375,0.87,0.04,21,reviewed,uw,uw
1987-04-15T13:22:10.640Z,47.4936667,-122.2841667,22.503,2.5,md,47,47,,0.19,uw,uw10218408,2016-07-24T20:12:54.420Z,"1 km NE of Riverton, Washington",earthquake,0.304,0.66,0.08,42,reviewed,uw,uw
1987-04-07T15:25:01.880Z,47.4965,-122.2806667,25.337,2.6,md,41,48,0.06142,0.14,uw,uw10217518,2016-07-24T20:12:30.970Z,"1 km NE of Riverton, Washington",earthquake,0.339,0.67,0.05,20,reviewed,uw,uw
1984-09-20T02:16:03.510Z,47.4936667,-122.3063333,25.912,2.7,md,36,52,,0.13,uw,uw10212488,2016-07-24T23:33:30.330Z,"0 km NE of Boulevard Park, Washington",earthquake,0.368,0.69,0.05,10,reviewed,uw,uw
1984-07-24T22:12:56.280Z,47.7398333,-122.4228333,20.692,2.7,md,33,45,,0.15,uw,uw10178163,2016-07-24T23:28:03.730Z,"6 km WSW of Shoreline, Washington",earthquake,0.34,0.96,0.07,4,reviewed,uw,uw
1981-01-23T16:46:47.790Z,47.6003333,-122.4163333,22.065,3,md,29,43,0.1238,0.08,uw,uw10096313,2016-07-24T21:54:05.400Z,"6 km W of Seattle, Washington",earthquake,0.198,0.46,0.06,5,reviewed,uw,uw
1980-06-23T16:09:55.040Z,47.5405,-122.2476667,-0.715,3.3,md,26,54,,0.24,uw,uw10080553,2016-07-24T21:42:06.400Z,"3 km SSW of Mercer Island, Washington",earthquake,0.071,0.17,0.1,1,reviewed,uw,uw
1980-06-23T16:05:16.430Z,47.5426667,-122.2508333,-0.685,3.7,md,21,54,,0.16,uw,uw10080533,2016-07-24T21:42:06.070Z,"3 km SW of Mercer Island, Washington",earthquake,0.042,0.1,0.07,1,reviewed,uw,uw
1975-11-13T11:59:58.590Z,47.5016667,-122.2838333,26.885,2.5,md,12,61,,0.13,uw,uw10862178,2016-07-25T00:19:26.180Z,"2 km NNE of Riverton, Washington",earthquake,0.624,0.53,0.22,11,reviewed,uw,uw
1975-01-06T00:09:40.350Z,47.742,-122.2596667,15.417,2.5,md,6,106,0.1888,0.25,uw,uw10860323,2016-07-25T00:13:26.740Z,"2 km SW of Kenmore, Washington",earthquake,0.724,3.05,0.13,2,reviewed,uw,uw
1974-12-01T06:23:58.270Z,47.6115,-122.3285,-0.646,2.9,md,10,88,0.08002,0.19,uw,uw10860033,2016-07-25T00:12:46.800Z,"0 km NNE of Seattle, Washington",earthquake,0.058,0.09,0.1,11,reviewed,uw,uw
1974-06-23T00:54:55.800Z,47.6136667,-122.3346667,-0.636,2.8,md,10,88,0.08448,0.26,uw,uw10859043,2016-07-25T00:10:41.270Z,"0 km NNW of Seattle, Washington",earthquake,0.05,0.08,0.07,5,reviewed,uw,uw
1973-12-14T14:25:22.950Z,47.6071667,-122.3233333,1.774,2.9,md,10,88,0.07447,0.15,uw,uw10857863,2016-07-25T00:07:52.960Z,"0 km E of Seattle, Washington",earthquake,0.773,1.04,0.05,11,reviewed,uw,uw
1973-11-19T09:09:27.540Z,47.605,-122.3318333,-0.656,2.9,md,12,87,,0.25,uw,uw10857763,2016-07-25T00:07:31.550Z,"0 km S of Seattle, Washington",earthquake,0.05,0.09,0.1,13,reviewed,uw,uw
1973-11-03T16:22:01.720Z,47.6026667,-122.3245,4.224,3,md,12,87,0.07186,0.24,uw,uw10857668,2016-07-25T00:07:18.880Z,"0 km SE of Seattle, Washington",earthquake,1.063,3.08,0.06,12,reviewed,uw,uw
1973-10-25T11:32:48.820Z,47.6123333,-122.3285,-0.206,2.6,md,9,88,0.08062,0.17,uw,uw10857623,2016-07-25T00:07:11.200Z,"0 km NNE of Seattle, Washington",earthquake,0.836,1.3,0.08,9,reviewed,uw,uw
1973-10-12T12:02:10.310Z,47.6081667,-122.3238333,1.347,2.6,md,10,88,,0.19,uw,uw10857488,2016-07-25T00:06:50.020Z,"0 km ENE of Seattle, Washington",earthquake,0.697,0.94,0.11,11,reviewed,uw,uw
1973-10-12T09:35:25.670Z,47.6115,-122.3153333,1.934,2.8,md,12,89,,0.2,uw,uw10857483,2016-07-25T00:06:48.480Z,"1 km ENE of Seattle, Washington",earthquake,1.012,1.15,0.07,13,reviewed,uw,uw
1973-10-10T00:53:43.040Z,47.611,-122.3341667,-0.646,2.5,md,9,87,0.08235,0.18,uw,uw10857468,2016-07-25T00:06:46.660Z,"0 km NNW of Seattle, Washington",earthquake,0.028,0.06,0.06,10,reviewed,uw,uw
1973-10-08T05:34:20.440Z,47.6196667,-122.2651667,4.204,2.8,md,11,95,,0.24,uw,uw10857428,2016-07-25T00:06:40.640Z,"2 km W of Medina, Washington",earthquake,0.933,6.98,0.06,11,reviewed,uw,uw
1973-10-07T23:34:43.270Z,47.6201667,-122.2611667,-0.646,2.5,md,9,96,0.06736,0.25,uw,uw10857403,2016-07-25T00:06:37.450Z,"2 km W of Medina, Washington",earthquake,0.078,0.15,0.11,9,reviewed,uw,uw
