time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-07-13T19:47:05.640Z,47.483333333333334,-122.314,29.49,2.7800000000000002,ml,104,20,,0.37,uw,uw61744912,2025-03-09T19:17:30.870Z,"0 km S of Boulevard Park, Washington",earthquake,0.28,0.49,0.203214604707868,49,reviewed,uw,uw
2018-03-17T22:35:38.030Z,47.55283333333333,-122.27216666666666,2.45,2.69,ml,57,31,,0.57,uw,uw61355627,2025-03-22T17:55:27.710Z,"4 km WSW of Mercer Island, Washington",earthquake,0.44,0.48,0.150932637569833,38,reviewed,uw,uw
2013-07-12T13:56:02.390Z,47.715,-122.2961667,30.979,2.58,ml,43,34,0.008514,0.31,uw,uw60551966,2022-07-25T18:17:51.861Z,"4 km SSW of Lake Forest Park, Washington",earthquake,0.41,0.58,0.167,80,reviewed,uw,uw
1997-02-10T04:26:58.060Z,47.5533333,-122.2995,6.742,3.5,md,58,40,,0.16,uw,uw10414778,2016-07-23T17:30:32.230Z,"5 km NE of White Center, Washington",earthquake,0.028,0.02,0.02,9,reviewed,uw,uw
1996-11-26T05:22:25.600Z,47.7383333,-122.289,38.746,2.68,md,31,44,,0.53,uw,uw10412298,2016-07-23T17:27:38.620Z,"2 km SSW of Lake Forest Park, Washington",earthquake,0.79,1.18,0.205,67,reviewed,uw,uw
1995-07-15T14:36:18.640Z,47.624,-122.2015,24.493,3,md,50,31,0.07698,0.14,uw,uw10376828,2016-07-23T16:37:25.430Z,"1 km SE of Clyde Hill, Washington",earthquake,0.028,0.05,0.05,19,reviewed,uw,uw
1995-07-15T02:41:36.360Z,47.6211667,-122.196,29.043,2.7,md,51,32,0.07601,0.26,uw,uw10376353,2016-07-23T16:37:18.870Z,"1 km NNE of Bellevue, Washington",earthquake,0.368,0.68,0.09,15,reviewed,uw,uw
1995-02-10T11:17:36.950Z,47.7311667,-122.299,23.181,2.9,md,32,42,0.1812,0.11,uw,uw10363438,2016-07-23T16:23:56.560Z,"3 km SSW of Lake Forest Park, Washington",earthquake,0.262,0.57,0.07,11,reviewed,uw,uw
1992-03-29T02:55:07.530Z,47.6253333,-122.1973333,25.104,3.2,md,43,42,0.07936,0.12,uw,uw10290798,2016-07-23T22:49:24.560Z,"1 km N of Bellevue, Washington",earthquake,0.022,0.04,0.01,35,reviewed,uw,uw
1991-02-18T23:17:38.410Z,47.6261667,-122.1915,24.251,2.5,md,31,54,0.08185,0.1,uw,uw10272023,2016-07-23T22:16:29.870Z,"1 km NNE of Bellevue, Washington",earthquake,0.283,0.43,0.05,7,reviewed,uw,uw
