Preliminary Risk Category,Neighborhood,Address,City,State,Zip Code,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,Long/Lat
Medium Risk,Alki/Admiral,1321 Harbor Ave SW,Seattle,WA,98116,1915,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.38253 47.59144)
Medium Risk,Alki/Admiral,2124 California Ave SW,Seattle,WA,98116,1928,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.38642 47.58452)
Medium Risk,Alki/Admiral,2306 42nd Ave SW,Seattle,WA,98116,1909,2,Visible retrofit,Government,11-100,Photos (Rosettes) from Previous Surveys,POINT (-122.38475 47.58247)
Medium Risk,Alki/Admiral,4029 Beach Dr SW,Seattle,WA,98116,1928,1,No visible retrofit,Commercial/Residential,1-10,Field Visit,POINT (-122.40954 47.56781)
Medium Risk,Ballard,1100 NW Leary Way,Seattle,WA,98107,1932,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.37111 47.66366)
Medium Risk,Ballard,5101 Ballard Ave NW,Seattle,WA,98107,1905,2,Substantial Alteration,Commercial/Office,11-100,Google Street View,POINT (-122.38101 47.66454)
Medium Risk,Ballard,5109 Ballard Ave NW,Seattle,WA,98107,1900,2,Permitted Retrofit,Commercial,11-100,Field Visit,POINT (-122.3812 47.6647)
Medium Risk,Ballard,5135 Ballard Ave NW,Seattle,WA,98107,1900,2,Substantial Alteration,Commercial/Office,11-100,Field Visit,POINT (-122.38185 47.66525)
Medium Risk,Ballard,5140 Ballard Ave NW,Seattle,WA,98107,1902,2,Visible retrofit,Public Assembly,11-100,Google Street View-Rosettes,POINT (-122.38202 47.66539)
Medium Risk,Ballard,5144 Ballard Ave NW,Seattle,WA,98107,1911,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.38209 47.66545)
Critical Risk,Ballard,5201 Ballard Ave NW,Seattle,WA,98107,1915,2,Substantial Alteration,Schools,101+,Field Visit,POINT (-122.38221 47.66555)
Medium Risk,Ballard,5205 Ballard Ave NW,Seattle,WA,98107,1915,1,Visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.38234 47.66566)
High Risk,Ballard,5215 Ballard Ave NW,Seattle,WA,98107,1902,2,No visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.38256 47.66585)
Medium Risk,Ballard,5229 Ballard Ave NW,Seattle,WA,98107,1900,2,Substantial Alteration,Public Assembly,11-100,Field Visit,POINT (-122.38288 47.66612)
Medium Risk,Ballard,5233 Ballard Ave NW,Seattle,WA,98107,1900,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.38304 47.66626)
